感谢

感谢大家众筹白银，庆祝李家出紫府。其实我也跟大家一样开心，两百多万字了，李家紫府之后的故事，也希望大家会喜欢。

　　再次感谢大家众筹庆祝，也顺带求一下月票，谢谢：

　　百里彤雲	1314元

　　Loughshinny	520元

　　沈溪	300元

　　阴山虎	200元

　　炽雨香风	200元

　　我心思慕你_	200元

　　叙诗憾	100元

　　沉默的独奏者	100元

　　看书不订阅	100元

　　沧月后援团	100元

　　春风不知意～	100元

　　无头南山	100元

　　文和先生	100元

　　摇摆碳酸石	100元

　　一身正气_	100元

　　许久许久以前	100元

　　风铃飞羽	100元

　　zme	100元

　　或许OvO	100元

　　暖风亭雪	100元

　　欧起来_徐吾悟	100元

　　太上宫	100元

　　季染	100元

　　追光0000	100元

　　如水不留痕	100元

　　失去梦想的兔叽	100元

　　肥鱼水中游	76元

　　羴鱻犇骉	50元

　　哈奇士道人	50元

　　90stefanie	50元

　　彦介于行	50元

　　花生很闲	50元

　　弦霙	50元

　　天生御兽师	50元

　　三分春色描来易	50元

　　安我心者得我心也	50元

　　零落一身秋	50元

　　为君候蹁跹	30元

　　T踏破凌霄T	30元

　　靖陽王	30元

　　超级无敌宇宙级巨大兄弟	20元

　　渭水姜太公	20元

　　迦勒底的看门人	20元

　　肃临天	20元

　　瑷门	20元

　　洛烨丨	20元

　　东西来者	20元

　　修行真知	20元

　　StockLR	20元

　　山中狼mm	20元

　　我不芝道	15元

　　龙心小狗	15元

　　风歌鱼	10元

　　弱水三千我怕有毒	10元

　　Dersut	10元

　　旅行者五号	10元

　　影随风逝影无踪	10元

　　忘川挽歌	10元

　　梦逸流年	10元

　　Farats	10元

　　無主齐晨	10元

　　梦予我安	10元

　　待定义	10元

　　柯团子	10元

　　轻风为伴	10元

　　余庆shen	10元

　　圣仙齐天	10元

　　法兰西狗头铡	10元

　　浊酒	10元

　　对喽，明天凌晨的飞机回广州，更新可能会迟。
