==== 赛博与废土 ====
1. 《废土边境检查官》 - https://www.qidian.com/book/1044920002/
2. 《招黑体质开局修行在废土》 - https://www.qidian.com/book/1034079746/
3. 《赛博英雄传》 - https://www.qidian.com/book/1018180913/
4. 《赛博朋克：从2071开始》 - https://www.qidian.com/book/1045881040/
5. 《赛博朋克里的锻体独狼》 - https://www.qidian.com/book/1045175277/
6. 《我的赛博精神病是任务提示》 - https://www.qidian.com/book/1038580695/

7. 《赛博巫师入侵末日》 - https://www.qidian.com/book/1044511668/
8. 《人在赛博，系统叫我搞治安？》 - https://www.qidian.com/book/1044383761/
9. 《赛博朋克：夜之城的寰宇巨企》 - https://www.qidian.com/book/1045196036/
10. 《玩家入侵赛博朋克》 - https://www.qidian.com/book/1042239007/
11. 《废土爆兵：从小镇开始建立希望城》 - https://www.qidian.com/book/1045262386/
12. 《玩家们的废土宇宙》 - https://www.qidian.com/book/1043990855/

==== 全部 ====
1. 《捞尸人》 - https://www.qidian.com/book/1041637443/
2. 《苟在初圣魔门当人材》 - https://www.qidian.com/book/1043182343/
3. 《没钱修什么仙？》 - https://www.qidian.com/book/1042256511/
4. 《夜无疆》 - https://www.qidian.com/book/1040765595/
5. 《玄鉴仙族》 - https://www.qidian.com/book/1035420986/
6. 《异度旅社》 - https://www.qidian.com/book/1041604040/
7. 《赤心巡天》 - https://www.qidian.com/book/1016530091/
8. 《借剑》 - https://www.qidian.com/book/1045165156/
9. 《青山》 - https://www.qidian.com/book/1033014772/
10. 《我的化身正在成为最终BOSS》 - https://www.qidian.com/book/1042464636/
11. 《神的模仿犯》 - https://www.qidian.com/book/1045354296/
12. 《剑出大唐》 - https://www.qidian.com/book/1043632678/
13. 《天命之上》 - https://www.qidian.com/book/1039831421/
14. 《山河稷》 - https://www.qidian.com/book/1043748975/
15. 《诡秘之主》 - https://www.qidian.com/book/1010868264/
16. 《重回1982小渔村》 - https://www.qidian.com/book/1034727274/
17. 《1979黄金时代》 - https://www.qidian.com/book/1039689097/
18. 《鸣龙》 - https://www.qidian.com/book/1039457453/
19. 《都重生了谁考公务员啊》 - https://www.qidian.com/book/1038504669/
20. 《元始法则》 - https://www.qidian.com/book/1042108416/
21. 《俗仙》 - https://www.qidian.com/book/1045391192/
22. 《这个地下城长蘑菇了》 - https://www.qidian.com/book/1044050715/
23. 《从水猴子开始成神》 - https://www.qidian.com/book/1037570737/
24. 《状元郎》 - https://www.qidian.com/book/1044394624/
25. 《刚准备高考，离婚逆袭系统来了》 - https://www.qidian.com/book/1040790581/
26. 《苟在武道世界成圣》 - https://www.qidian.com/book/1045003390/
27. 《神话版三国》 - https://www.qidian.com/book/3223937/
28. 《哥布林重度依赖》 - https://www.qidian.com/book/1042786143/
29. 《以一龙之力打倒整个世界！》 - https://www.qidian.com/book/1043128588/
30. 《天人图谱》 - https://www.qidian.com/book/1037676014/
31. 《吞噬星空2起源大陆》 - https://www.qidian.com/book/1039391177/
32. 《冬日重现》 - https://www.qidian.com/book/1044572097/
33. 《Z世代艺术家》 - https://www.qidian.com/book/1042685395/
34. 《大道之上》 - https://www.qidian.com/book/1039994731/
35. 《1984：从破产川菜馆开始》 - https://www.qidian.com/book/1044818845/
36. 《亡灵法师，召唤055什么鬼？》 - https://www.qidian.com/book/1045018157/
37. 《融合是最高贵的召唤方式！》 - https://www.qidian.com/book/1041626860/
38. 《龙藏》 - https://www.qidian.com/book/1038996214/
39. 《重启人生》 - https://www.qidian.com/book/1043695973/
40. 《火影：我在暗部苟成超影》 - https://www.qidian.com/book/1044647861/
41. 《非正常美食文》 - https://www.qidian.com/book/1040990451/
42. 《沸腾时代》 - https://www.qidian.com/book/1045632933/
43. 《十四亿国民的王国继承人》 - https://www.qidian.com/book/1043271960/
44. 《这是我们的战锤之旅》 - https://www.qidian.com/book/1043038786/
45. 《这个反派过于有人气》 - https://www.qidian.com/book/1044705821/
46. 《魔王大人深不可测》 - https://www.qidian.com/book/1041162879/
47. 《贫道要考大学》 - https://www.qidian.com/book/1045457037/
48. 《发薪就能变强，我有十亿员工！》 - https://www.qidian.com/book/1043465009/
49. 《宿命之环》 - https://www.qidian.com/book/1036370336/
50. 《多我一个后富怎么了》 - https://www.qidian.com/book/1033148818/
51. 《今天毁灭世界了吗？》 - https://www.qidian.com/book/1044139620/
52. 《真君驾到》 - https://www.qidian.com/book/1044839471/
53. 《魅力点满，继承游戏资产》 - https://www.qidian.com/book/1039142740/
54. 《长夜君主》 - https://www.qidian.com/book/1037414980/
55. 《晋末长剑》 - https://www.qidian.com/book/1038188187/
56. 《神明调查报告》 - https://www.qidian.com/book/1044900108/
57. 《永噩长夜》 - https://www.qidian.com/book/1042145420/
58. 《废土边境检查官》 - https://www.qidian.com/book/1044920002/
59. 《堑壕大栓与魔法》 - https://www.qidian.com/book/1045805062/
60. 《蜀山镇世地仙》 - https://www.qidian.com/book/1039775049/
61. 《我不是哥布林杀手》 - https://www.qidian.com/book/1044612643/
62. 《港片：你洪兴仔，慈善大王什么鬼》 - https://www.qidian.com/book/1040860448/
63. 《神农道君》 - https://www.qidian.com/book/1039640376/
64. 《从山寨老头乐，到工业霸主》 - https://www.qidian.com/book/1045762422/
65. 《轮回乐园》 - https://www.qidian.com/book/1009817672/
66. 《说好体验人生，仙子你怎么成真了》 - https://www.qidian.com/book/1044988737/
67. 《国民法医》 - https://www.qidian.com/book/1033893441/
68. 《呢喃诗章》 - https://www.qidian.com/book/1027630529/
69. 《百世修仙：我能固定天赋》 - https://www.qidian.com/book/1045561279/
70. 《重生八一渔猎西北》 - https://www.qidian.com/book/1039893514/
71. 《流窜诸天的恶势力》 - https://www.qidian.com/book/1042086644/
72. 《红尘尸仙》 - https://www.qidian.com/book/1042279725/
73. 《说好的保卫科干事，你破什么案？》 - https://www.qidian.com/book/1043961748/
74. 《仙人消失之后》 - https://www.qidian.com/book/1033991975/
75. 《1987我的年代》 - https://www.qidian.com/book/1040855137/
76. 《喧嚣未及之处》 - https://www.qidian.com/book/1046167790/
77. 《黜龙》 - https://www.qidian.com/book/1031516087/
78. 《文豪1879：独行法兰西》 - https://www.qidian.com/book/1045279264/
79. 《韩城：我与未来有扇门》 - https://www.qidian.com/book/1044444421/
80. 《仙道尽头》 - https://www.qidian.com/book/1044334449/
81. 《死刑变无罪？谁叫他做侦探的！》 - https://www.qidian.com/book/1043127479/
82. 《食仙主》 - https://www.qidian.com/book/1032634963/
83. 《仙业》 - https://www.qidian.com/book/1035985996/
84. 《惊涛落日》 - https://www.qidian.com/book/1043249350/
85. 《历史病了》 - https://www.qidian.com/book/1044399093/
86. 《整座大山都是我的猎场》 - https://www.qidian.com/book/1031866444/
87. 《山海提灯》 - https://www.qidian.com/book/1039449163/
88. 《红楼芳华，权倾天下》 - https://www.qidian.com/book/1045831749/
89. 《大明：让你死谏，你怎么真死啊？》 - https://www.qidian.com/book/1045582790/
90. 《艾泽拉斯圣光黎明》 - https://www.qidian.com/book/1043199830/
91. 《太虚至尊》 - https://www.qidian.com/book/1038440253/
92. 《美利坚打猎：从荒野独居开始》 - https://www.qidian.com/book/1044930090/
93. 《绑定打卡系统，我成了悠闲旅行家》 - https://www.qidian.com/book/1044764578/
94. 《上玉阙》 - https://www.qidian.com/book/1042719946/
95. 《以神通之名》 - https://www.qidian.com/book/1044896207/
96. 《远山破阵曲》 - https://www.qidian.com/book/1044330281/
97. 《高武纪元》 - https://www.qidian.com/book/1039141715/
98. 《华娱唯一太阳》 - https://www.qidian.com/book/1045273110/
99. 《旧域怪诞》 - https://www.qidian.com/book/1045191725/
100. 《仙工开物》 - https://www.qidian.com/book/1039889503/
101. 《重生08：装备系男神》 - https://www.qidian.com/book/1042476546/
102. 《高武：肝成宇宙之主》 - https://www.qidian.com/book/1045207059/
103. 《九龙夺嫡，我真不想当太子》 - https://www.qidian.com/book/1044762088/
104. 《寒霜千年》 - https://www.qidian.com/book/1044780667/
105. 《人在峨眉，开局获取金色词条》 - https://www.qidian.com/book/1045445836/
106. 《隐秘买家》 - https://www.qidian.com/book/1045583754/
107. 《天命皆烬》 - https://www.qidian.com/book/1039028902/
108. 《系统很抽象，还好我也是》 - https://www.qidian.com/book/1042169201/
109. 《科技入侵现代》 - https://www.qidian.com/book/1043452279/
110. 《天灾信使》 - https://www.qidian.com/book/1043620792/
111. 《大哥说我天下无敌》 - https://www.qidian.com/book/1045526336/
112. 《华娱1995》 - https://www.qidian.com/book/1045172422/
113. 《怪物来了》 - https://www.qidian.com/book/1041377890/
