==== 全部 ====
1. 《港片：你洪兴仔，慈善大王什么鬼》 - https://www.qidian.com/book/1040860448/

==== 玄幻 ====
1. 《大周文圣》 - https://www.qidian.com/book/1043081814/
2. 《宠神》 - https://www.qidian.com/book/1043178510/
3. 《在天魔世界的摆烂生活》 - https://www.qidian.com/book/1045435367/
4. 《神诡制卡师：开局百鬼夜行》 - https://www.qidian.com/book/1044115026/
5. 《我只会虐菜啊》 - https://www.qidian.com/book/1044558122/
6. 《人间如狱，我肉身成圣》 - https://www.qidian.com/book/1043056943/
7. 《登神》 - https://www.qidian.com/book/1043112448/
8. 《极道暴君！》 - https://www.qidian.com/book/1041744562/
9. 《神话职业者都是我员工》 - https://www.qidian.com/book/1044773646/
10. 《我在诡夜斩神魔》 - https://www.qidian.com/book/1039422794/
11. 《人在高武，言出法随》 - https://www.qidian.com/book/1044235789/
12. 《我有一身被动技》 - https://www.qidian.com/book/1020152464/

==== 奇幻 ====
1. 《蒸汽世界的鼠先生》 - https://www.qidian.com/book/1045346552/
2. 《中土冒险日志》 - https://www.qidian.com/book/1045709623/
3. 《巫师血脉》 - https://www.qidian.com/book/1040945880/
4. 《暮年骑士，从抚养血族徒弟开始》 - https://www.qidian.com/book/1045136683/
5. 《森林不养闲哥布林》 - https://www.qidian.com/book/1045593609/
6. 《中古战锤：英雄无敌》 - https://www.qidian.com/book/1045373609/
7. 《帝国王权》 - https://www.qidian.com/book/1039978139/
8. 《高天之上》 - https://www.qidian.com/book/1032977639/
9. 《权游：烈日行者》 - https://www.qidian.com/book/1041354374/
10. 《炼金术师保命之法》 - https://www.qidian.com/book/1042131809/
11. 《虫群公主养成日记》 - https://www.qidian.com/book/1045063107/
12. 《猩红之刃：漂泊之旅》 - https://www.qidian.com/book/1042300920/
13. 《巫师：从生物改造开始肝经验》 - https://www.qidian.com/book/1041887405/
14. 《死灵法师的地牢掌机》 - https://www.qidian.com/book/1044202023/
15. 《地下城魔物美食指南》 - https://www.qidian.com/book/1045180692/
16. 《费伦：全职业精通，但我是普通人》 - https://www.qidian.com/book/1045009877/
